DateTime,Open,High,Low,Close,Volume
2025-04-03 09:15:00+05:30,149.96,153.15,149.71,152.5,1442840
2025-04-03 10:15:00+05:30,152.48,153.98,152.25,153.23,1183855
2025-04-03 11:15:00+05:30,153.23,154.07,152.61,153.78,652218
2025-04-03 12:15:00+05:30,153.8,153.97,153.14,153.35,354984
2025-04-03 13:15:00+05:30,153.35,157.6,153.35,156.7,2864698
2025-04-03 14:15:00+05:30,156.7,157.51,155.67,156.71,1898891
2025-04-03 15:15:00+05:30,156.75,156.81,156.38,156.65,535754
2025-04-04 09:15:00+05:30,157.5,157.89,152.06,152.54,4351923
2025-04-04 10:15:00+05:30,152.64,154.9,152.11,154.66,1242524
2025-04-04 11:15:00+05:30,154.59,154.84,152.87,153.33,718347
2025-04-04 12:15:00+05:30,153.3,153.93,152.71,152.84,678908
2025-04-04 13:15:00+05:30,152.78,153.16,151.56,152.25,1432966
2025-04-04 14:15:00+05:30,152.25,153.56,151.51,153.0,1456786
2025-04-04 15:15:00+05:30,153.0,153.6,152.85,153.5,650495
2025-04-07 09:15:00+05:30,145.02,146.88,141.9,142.09,3233126
2025-04-07 10:15:00+05:30,142.04,145.0,141.5,144.16,1117202
2025-04-07 11:15:00+05:30,144.07,144.61,142.67,142.82,690293
2025-04-07 12:15:00+05:30,142.82,144.17,142.55,143.29,555114
2025-04-07 13:15:00+05:30,143.35,144.9,142.84,144.06,859633
2025-04-07 14:15:00+05:30,144.08,145.2,143.35,144.94,1090739
2025-04-07 15:15:00+05:30,144.88,145.99,144.55,145.54,391510
2025-04-08 09:15:00+05:30,148.0,150.2,148.0,148.26,1373020
2025-04-08 10:15:00+05:30,148.26,150.7,148.0,149.74,758005
2025-04-08 11:15:00+05:30,149.74,149.95,148.52,149.8,625143
2025-04-08 12:15:00+05:30,149.84,150.45,149.41,150.43,525420
2025-04-08 13:15:00+05:30,150.43,150.66,149.2,150.52,500537
2025-04-08 14:15:00+05:30,150.57,150.99,149.6,149.87,846845
2025-04-08 15:15:00+05:30,149.87,150.5,149.85,150.4,343001
2025-04-09 09:15:00+05:30,153.0,153.0,146.29,146.5,2711116
2025-04-09 10:15:00+05:30,146.42,146.88,143.28,143.59,2170272
2025-04-09 11:15:00+05:30,143.59,145.5,143.35,145.45,1072030
2025-04-09 12:15:00+05:30,145.45,146.95,145.24,146.94,813935
2025-04-09 13:15:00+05:30,146.94,147.1,146.1,146.3,430482
2025-04-09 14:15:00+05:30,146.3,147.23,146.15,146.8,730563
2025-04-09 15:15:00+05:30,146.8,147.11,146.5,146.8,498915
2025-04-11 09:15:00+05:30,149.99,150.6,148.28,149.03,875301
2025-04-11 10:15:00+05:30,148.92,149.94,148.01,149.57,394310
2025-04-11 11:15:00+05:30,149.64,150.14,149.53,149.9,266733
2025-04-11 12:15:00+05:30,149.9,150.15,148.69,149.26,433482
2025-04-11 13:15:00+05:30,149.26,150.1,148.67,149.51,1017720
2025-04-11 14:15:00+05:30,149.45,150.3,149.22,149.71,756595
2025-04-11 15:15:00+05:30,149.71,149.75,149.48,149.6,400595
2025-04-15 09:15:00+05:30,151.94,152.42,150.55,152.18,1087510
2025-04-15 10:15:00+05:30,152.17,153.64,151.93,153.25,692389
2025-04-15 11:15:00+05:30,153.26,153.87,152.98,153.18,443219
2025-04-15 12:15:00+05:30,153.17,154.3,153.12,154.15,480559
2025-04-15 13:15:00+05:30,154.2,154.39,153.79,154.36,317817
2025-04-15 14:15:00+05:30,154.39,154.54,153.81,153.89,698452
2025-04-15 15:15:00+05:30,153.88,154.48,153.83,154.01,540225
2025-04-16 09:15:00+05:30,154.57,157.4,154.07,157.05,5282938
2025-04-16 10:15:00+05:30,157.05,158.45,156.66,157.8,2298185
2025-04-16 11:15:00+05:30,157.8,158.45,157.4,157.81,1044168
2025-04-16 12:15:00+05:30,157.81,158.38,157.66,158.03,975625
